id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
36651479,52.53234,13.38122,Brunnenstr. Süd,Entire home/apt,Entire rental unit,4,0.0,1.0,3,112.0,4.7,163,0.0
36663474,52.47745,13.36088,Schöneberg-Süd,Entire home/apt,Entire rental unit,2,1.0,1.0,10,90.0,5.0,17,1.0
36668439,52.57212,13.437,Blankenburg/Heinersdorf/Märchenland,Entire home/apt,Entire rental unit,5,1.0,1.0,3,200.0,4.93,14,1.0
36684410,52.51924,13.35528,Moabit Ost,Private room,Private room in condo,2,1.0,1.0,1,44.0,4.89,132,1.0
36692226,52.51374,13.45043,Karl-Marx-Allee-Süd,Entire home/apt,Entire loft,2,0.0,1.0,92,83.0,5.0,18,0.0
36716233,52.54848,13.36728,Wedding Zentrum,Entire home/apt,Entire condo,3,1.0,1.0,1,117.0,4.82,11,1.0
36748398,52.42429,13.57377,Grünau,Entire home/apt,Entire rental unit,3,1.0,1.0,2,89.0,4.56,54,0.0
36749469,52.49102783203125,13.489139556884766,Rummelsburger Bucht,Entire home/apt,Boat,4,2.0,2.0,1,374.0,4.67,6,1.0
36754449,52.53825,13.41078,Prenzlauer Berg Südwest,Private room,Room in hotel,2,1.0,1.0,1,163.0,4.72,271,0.0
36806963,52.49637,13.46952,Frankfurter Allee Süd FK,Entire home/apt,Entire rental unit,2,1.0,1.0,93,72.0,4.8,5,0.0
36825557,52.51655,13.46068,Frankfurter Allee Nord,Private room,Private room in rental unit,1,1.0,1.0,3,57.0,4.87,119,1.0
36833931,52.53148,13.38848,Brunnenstr. Süd,Entire home/apt,Entire serviced apartment,2,0.0,1.0,4,309.0,5.0,2,0.0
36839962,52.52981,13.3961,Brunnenstr. Süd,Entire home/apt,Entire rental unit,4,2.0,1.0,1,115.0,4.59,219,1.0
36866194,52.49949,13.46274,Frankfurter Allee Süd FK,Private room,Private room in rental unit,2,1.0,1.0,1,74.0,4.92,110,1.0
36871553,52.525131,13.39148,Alexanderplatz,Private room,Private room in hostel,8,2.0,2.0,1,659.5400000000009,4.44,16,1.0
36871600,52.52432,13.3919,Alexanderplatz,Private room,Private room in hostel,2,1.0,1.0,1,304.0,4.5,4,0.21978021978021978
36879869,52.43666,13.19808,Zehlendorf  Südwest,Entire home/apt,Entire home,7,3.0,1.5,90,178.0,4.9,20,1.0
36890319,52.50406,13.36111,Tiergarten Süd,Entire home/apt,Entire rental unit,2,1.0,1.0,92,48.0,2.0,1,0.0
36895923,52.52422,13.39045,Alexanderplatz,Private room,Private room in hostel,4,1.0,2.0,1,414.0,4.29,28,1.0
36910742,52.53125,13.41549,Prenzlauer Berg Südwest,Private room,Private room in rental unit,3,1.0,1.0,1,97.0,4.81,47,1.0
36923824,52.45153,13.32927,Albrechtstr.,Entire home/apt,Entire home,6,2.0,1.0,2,170.0,4.9,58,1.0
